0-Pagina WT,1-Titolo italiano,2-Titolo tedesco,3-DataTrek ID,4-Stag. P18,5-Numero di produzione P1,6-Sequenza di trasmissione P153,7-Data di pubblicazione originale,8-Data P95,9-Serie,10-Istanza P14,11-P178,12-Titolo Wikidata,13-Wikidata ID,14-enMAPage,15-deMAPage,16-itMAPage,17-Produzione Wikidata,18-CheckProduzione
Anomaly (Discovery),Anomalia,,Q10737,4,402,,25 novembre 2021,2021-11-25,Star Trek: Discovery,Q10315,2,Anomaly (Discovery),Q109650195,Anomaly (DIS) (episode),Anomalie (DSC),,,KO
Choose to Live,Scegliere di vivere,,Q10738,4,403,,2 dicembre 2021,2021-12-02,Star Trek: Discovery,Q10315,3,Choose to Live,Q109906318,Choose to Live (episode),Wähle das Leben,,,KO
All Is Possible,Tutto è possibile,,Q10739,4,404,,9 dicembre 2021,2021-12-09,Star Trek: Discovery,Q10315,4,All Is Possible,Q110071412,All Is Possible (episode),Alles ist möglich,,,KO
The Examples,Gli esempi,,Q10821,4,405,,16 dicembre 2021,2021-12-16,Star Trek: Discovery,Q10315,5,The Examples,Q110221596,The Examples (episode),Die Beispiele,,,KO
Stormy Weather,Tempesta,,Q10825,4,406,,23 dicembre 2021,2021-12-23,Star Trek: Discovery,Q10315,6,Stormy Weather,Q110221606,Stormy Weather (episode),Stürmisches Wetter,,,KO
…But to Connect,…Connettere,,Q10826,4,407,,30 dicembre 2021,2021-12-30,Star Trek: Discovery,Q10315,7,…But to Connect,Q110333437,...But to Connect (episode),Verbindung,,,KO
All In,Rischiare tutto,,Q10952,4,408,,10 febbraio 2022,2022-02-10,Star Trek: Discovery,Q10315,8,All In,Q110644284,All In (episode),Alles oder nichts (Episode),,,KO
Rubicon,Rubicon,,Q10974,4,409,,17 febbraio 2022,2022-02-17,Star Trek: Discovery,Q10315,9,Rubicon,Q111031106,Rubicon (episode),,,,KO
The Galactic Barrier,La Barriera Galattica,,Q10994,4,410,,24 febbraio 2022,2022-02-24,Star Trek: Discovery,Q10315,10,The Galactic Barrier,Q111031124,The Galactic Barrier (episode),Die galaktische Barriere (Episode),,,KO
Rosetta,Rosetta,,Q11016,4,411,,3 marzo 2022,2022-03-03,Star Trek: Discovery,Q10315,11,Rosetta,Q111153737,Rosetta (episode),Der Rosettastein,,,KO
Species Ten-C,Specie Dieci-C,,Q11067,4,412,,10 marzo 2022,2022-03-10,Star Trek: Discovery,Q10315,12,Species Ten-C,Q111153746,Species Ten-C (episode),,,,KO
Coming Home,Ritorno a casa,,Q11098,4,413,,17 marzo 2022,2022-03-17,Star Trek: Discovery,Q10315,13,Coming Home,Q111262428,Coming Home (episode),Die Heimkehr (DSC),,,KO
Broken Bow,Prima missione,Aufbruch ins Unbekannte (Partenza verso l'ignoto),Q1438,1,1,"1,2",26 settembre 2001,2001-09-26,Star Trek: Enterprise,Q8526,1,Broken Bow,Q2629417,Broken Bow (episode),,,,KO
Fight or Flight,Vincere la paura,Freund oder Feind (Amico o nemico),Q3124,1,3,3,3 ottobre 2001,2001-10-03,Star Trek: Enterprise,Q8526,3,Fight or Flight,Q1974429,Fight or Flight (episode),Freund oder Feind,,103,KO
Strange New World,"Strani, nuovi mondi",Geistergeschichten (Storie di fantasmi),Q8664,1,4,4,10 ottobre 2001,2001-10-10,Star Trek: Enterprise,Q8526,4,Strange New World,Q1973469,Strange New World (episode),Geistergeschichten,,104,KO
Unexpected,Inatteso,In guter Hoffnung (In buona speranza),Q9710,1,5,5,17 ottobre 2001,2001-10-17,Star Trek: Enterprise,Q8526,5,Unexpected,Q1975616,Unexpected (episode),In guter Hoffnung,,105,KO
Terra Nova,Terra Nova,Terra Nova,Q8996,1,6,6,24 ottobre 2001,2001-10-24,Star Trek: Enterprise,Q8526,6,Terra Nova,Q2435282,Terra Nova (episode),Terra Nova (Episode),,106,KO
The Andorian Incident,Il caso andoriano,Doppeltes Spiel (Doppio gioco),Q9056,1,7,7,31 ottobre 2001,2001-10-31,Star Trek: Enterprise,Q8526,7,The Andorian Incident,Q744652,The Andorian Incident (episode),Doppeltes Spiel,,107,KO
Breaking the Ice,Rompere il ghiaccio,Das Eis Bricht (Il ghiaccio si rompe),Q1374,1,8,8,7 novembre 2001,2001-11-07,Star Trek: Enterprise,Q8526,8,Breaking the Ice,Q2524188,Breaking the Ice (episode),Das Eis bricht,,108,KO
Civilization,Una questione di civiltà,Die Saat (Il seme),Q1853,1,9,9,14 novembre 2001,2001-11-14,Star Trek: Enterprise,Q8526,9,Civilization,Q2364567,Civilization (episode),Die Saat,,109,KO
Fortunate Son,I figli dello spazio,Familienbande (Storie di famiglia),Q3182,1,10,10,21 novembre 2001,2001-11-21,Star Trek: Enterprise,Q8526,10,Fortunate Son,Q2390392,Fortunate Son (episode),Familienbande,,110,KO
Cold Front,Guerra temporale,Der Kalte Krieg (La guerra fredda),Q1970,1,11,11,28 novembre 2001,2001-11-28,Star Trek: Enterprise,Q8526,11,Cold Front,Q2139300,Cold Front (episode),Kalter Krieg (Episode),,111,KO
Silent Enemy,Nemico silenzioso,Lautloser Feind (Nemico silenzioso),Q8263,1,12,12,16 gennaio 2002,2002-01-16,Star Trek: Enterprise,Q8526,12,Silent Enemy,Q2465692,Silent Enemy (episode),Lautloser Feind,,112,KO
Dear Doctor,Caro dottore,Lieber Doktor (Caro dottore),Q2390,1,13,13,23 gennaio 2002,2002-01-23,Star Trek: Enterprise,Q8526,13,Dear Doctor,Q2122661,Dear Doctor (episode),Lieber Doktor,,113,KO
Sleeping Dogs,Una nave alla deriva,Schlafende Hunde (Cani addormentati),Q8321,1,15,14,30 gennaio 2002,2002-01-30,Star Trek: Enterprise,Q8526,14,Sleeping Dogs,Q2213032,Sleeping Dogs (episode),Schlafende Hunde,,114,KO
Shadows of P'Jem,Le ombre di P'Jem,Im Schatten von P'Jem (Nell'ombra di P'Jem),Q8172,1,14,15,6 febbraio 2002,2002-02-06,Star Trek: Enterprise,Q8526,15,Shadows of P'Jem,Q2324529,Shadows of P'Jem (episode),Im Schatten von P'Jem,,115,KO
Shuttlepod One,Navetta uno,Allein (Soli),Q8245,1,16,16,13 febbraio 2002,2002-02-13,Star Trek: Enterprise,Q8526,16,Shuttlepod One,Q762939,Shuttlepod One (episode),Allein,,116,KO
Fusion,La fusione,Verschmelzung (La fusione),Q3258,1,17,17,27 febbraio 2002,2002-02-27,Star Trek: Enterprise,Q8526,17,Fusion,Q1860938,Fusion (episode),Die Verschmelzung,La fusione (episodio),117,KO
Rogue Planet,La caccia,Gesetze der Jagd (Regole della caccia),Q7823,1,18,18,20 marzo 2002,2002-03-20,Star Trek: Enterprise,Q8526,18,Rogue Planet,Q1967172,Rogue Planet (episode),Gesetze der Jagd,,118,KO
Acquisition,Acquisizione,Raumpiraten (Pirati spaziali),Q191,1,19,19,27 marzo 2002,2002-03-27,Star Trek: Enterprise,Q8526,19,Acquisition,Q2787702,Acquisition (episode),Raumpiraten,,119,KO
Oasis,Oasi,,Q6785,1,20,20,3 aprile 2002,2002-04-03,Star Trek: Enterprise,Q8526,20,Oasis,Q2313211,Oasis (episode),Schiff der Geister,,120,KO
Detained,Prigionieri,In sicherem Gewahrsam (In custodia sicura),Q2499,1,21,21,24 aprile 2002,2002-04-24,Star Trek: Enterprise,Q8526,21,Detained,Q2134825,Detained (episode),In sicherem Gewahrsam,,121,KO
Vox Sola,Vox Sola,Vox Sola,Q9944,1,22,22,1 maggio 2002,2002-05-01,Star Trek: Enterprise,Q8526,22,Vox Sola,Q2360335,Vox Sola (episode),Vox Sola,,122,KO
Fallen Hero,La caduta di un eroe,Gefallene Heldin (Eroe caduto),Q3066,1,23,23,8 maggio 2002,2002-05-08,Star Trek: Enterprise,Q8526,23,Fallen Hero,Q2133397,Fallen Hero (episode),Gefallene Heldin,,123,KO
Desert Crossing,Attraverso il deserto,Durch die Wüste (Attraverso il deserto),Q2493,1,24,24,8 maggio 2002,2002-05-08,Star Trek: Enterprise,Q8526,24,Desert Crossing,Q2309926,Desert Crossing (episode),Durch die Wüste,,124,KO
Two Days and Two Nights,Due giorni e due notti,Zwei Tage auf Risa (Due giorni su Risa),Q9679,1,25,25,15 maggio 2002,2002-05-15,Star Trek: Enterprise,Q8526,25,Two Days and Two Nights,Q2720471,Two Days and Two Nights (episode),Zwei Tage auf Risa,,125,KO
Shockwave - Part I,Onda d'urto - Prima parte,"Die Schockwelle, Teil 1 (L'onda d'urto, Prima parte)",Q8238,1,26,26,22 maggio 2002,2002-05-22,Star Trek: Enterprise,Q8526,26,"Shockwave, Part I",Q42596397,Shockwave (episode),"Die Schockwelle, Teil I",,,KO
Shockwave - Part II,Onda d'urto - Seconda parte,"Die Schockwelle, Teil II (L'onda d'urto, Seconda parte)",Q8239,2,28,27,18 settembre 2002,2002-09-18,Star Trek: Enterprise,Q8526,1,"Shockwave, Part II",Q15881910,"Shockwave, Part II (episode)","Die Schockwelle, Teil II",,,KO
Carbon Creek,Carbon Creek,,Q1573,2,27,28,25 settembre 2002,2002-09-25,Star Trek: Enterprise,Q8526,2,Carbon Creek,Q1847020,Carbon Creek (episode),Carbon Creek (Episode),,201,KO
Minefield,Campo minato,,Q6390,2,29,29,2 ottobre 2002,2002-10-02,Star Trek: Enterprise,Q8526,3,Minefield,Q1935547,Minefield (episode),Das Minenfeld,,203,KO
Dead Stop,Sosta forzata,,Q2382,2,31,30,9 ottobre 2002,2002-10-09,Star Trek: Enterprise,Q8526,4,Dead Stop,Q3494387,Dead Stop (episode),Todesstation,,204,KO
A Night in Sickbay,Una notte in infermeria,,Q116,2,30,31,16 ottobre 2002,2002-10-16,Star Trek: Enterprise,Q8526,5,A Night in Sickbay,Q2402314,A Night in Sickbay (episode),Eine Nacht Krankenstation,,205,KO
Marauders,I predoni,,Q5888,2,32,32,30 ottobre 2002,2002-10-30,Star Trek: Enterprise,Q8526,6,Marauders,Q644743,Marauders (episode),Marodeure,,206,KO
The Seventh,Il settimo,,Q9240,2,33,33,6 novembre 2002,2002-11-06,Star Trek: Enterprise,Q8526,7,The Seventh,Q1916626,The Seventh (episode),Der Siebente,,207,KO
The Communicator,Il comunicatore,,Q9090,2,34,34,13 novembre 2002,2002-11-13,Star Trek: Enterprise,Q8526,8,The Communicator,Q2620129,The Communicator (episode),Der Kommunikator,,208,KO
Singularity,La singolarità,,Q8295,2,35,35,20 novembre 2002,2002-11-20,Star Trek: Enterprise,Q8526,9,Singularity,Q2653668,Singularity (episode),Eigenarten,,209,KO
Vanishing Point,Punto di non ritorno,,Q9793,2,36,36,27 novembre 2002,2002-11-27,Star Trek: Enterprise,Q8526,10,Vanishing Point,Q2785404,Vanishing Point (episode),Vermisst,,210,KO
Precious Cargo,Un carico prezioso,,Q7272,2,37,37,11 dicembre 2002,2002-12-11,Star Trek: Enterprise,Q8526,11,Precious Cargo,Q3544187,Precious Cargo (episode),Kostbare Fracht,Un carico prezioso (episodio),211,KO
The Catwalk,La passerella,,Q9077,2,38,38,18 dicembre 2002,2002-12-18,Star Trek: Enterprise,Q8526,12,The Catwalk,Q2342342,The Catwalk (episode),Der Laufsteg,,212,KO
Dawn,Il mio nemico,,Q2365,2,39,39,8 gennaio 2003,2003-01-08,Star Trek: Enterprise,Q8526,13,Dawn,Q2955489,Dawn (episode),Morgengrauen,Il mio nemico (episodio),213,KO
Stigma,La sindrome,,Q8650,2,40,40,5 febbraio 2003,2003-02-05,Star Trek: Enterprise,Q8526,14,Stigma,Q2674495,Stigma (episode),Stigma,La sindrome (episodio),214,KO
Cease Fire,La tregua,,Q1661,2,41,41,12 febbraio 2003,2003-02-12,Star Trek: Enterprise,Q8526,15,Cease Fire,Q2704591,Cease Fire (episode),Waffenstillstand (Episode),,215,KO
Future Tense,Il mistero della navetta,,Q3261,2,42,42,19 febbraio 2003,2003-02-19,Star Trek: Enterprise,Q8526,16,Future Tense,Q2936269,Future Tense (episode),Die Zukunft,,216,KO
Canamar,Canamar,,Q1554,2,43,43,26 febbraio 2003,2003-02-26,Star Trek: Enterprise,Q8526,17,Canamar,Q2406528,Canamar (episode),Canamar (Episode),,217,KO
The Crossing,Lo scambio,,Q9099,2,44,44,2 aprile 2003,2003-04-02,Star Trek: Enterprise,Q8526,18,The Crossing,Q2004297,The Crossing (episode),Übergang,,218,KO
Judgment,Il processo,,Q4670,2,45,45,9 aprile 2003,2003-04-09,Star Trek: Enterprise,Q8526,19,Judgment,Q2843483,Judgment (episode),Das Urteil (ENT),,219,KO
Horizon,La Horizon,,Q3814,2,46,46,16 aprile 2003,2003-04-16,Star Trek: Enterprise,Q8526,20,Horizon,Q497320,Horizon (episode),Horizon,,220,KO
The Breach,Il recupero,,Q9073,2,47,47,23 aprile 2003,2003-04-23,Star Trek: Enterprise,Q8526,21,The Breach,Q601736,The Breach (episode),Böses Blut,,221,KO
Cogenitor,Il cogenitore,,Q1967,2,48,48,30 aprile 2003,2003-04-30,Star Trek: Enterprise,Q8526,22,Cogenitor,Q602046,Cogenitor (episode),Cogenitor,,222,KO
Regeneration,Rigenerazione,,Q7496,2,49,49,7 maggio 2003,2003-05-07,Star Trek: Enterprise,Q8526,23,Regeneration,Q764748,Regeneration (episode),Regeneration (Episode),Rigenerazione (episodio),223,KO
First Flight,Il primo volo,,Q3138,2,50,50,14 maggio 2003,2003-05-14,Star Trek: Enterprise,Q8526,24,First Flight,Q861673,First Flight (episode),Erstflug,,224,KO
Bounty,La taglia,,Q1337,2,51,51,14 maggio 2003,2003-05-14,Star Trek: Enterprise,Q8526,25,Bounty,Q861686,Bounty (episode),Kopfgeld (Episode),,225,KO
The Expanse,Attacco alla Terra,,Q9127,2,52,52,21 maggio 2003,2003-05-21,Star Trek: Enterprise,Q8526,26,The Expanse,Q1027348,The Expanse (episode),Die Ausdehnung,,226,KO
The Xindi,Gli Xindi,,Q9294,3,53,53,10 settembre 2003,2003-09-10,Star Trek: Enterprise,Q8526,1,The Xindi,Q1185745,The Xindi (episode),Die Xindi,,301,KO
Anomaly,L'anomalia,,Q10262,3,54,54,17 settembre 2003,2003-09-17,Star Trek: Enterprise,Q8526,2,Anomaly,Q2153354,Anomaly (episode),Anomalie (Episode),,302,KO
Extinction,Estinzione,,Q3034,3,55,55,24 settembre 2003,2003-09-24,Star Trek: Enterprise,Q8526,3,Extinction,Q5230255,Extinction (episode),Transformation,,303,KO
Rajiin (ent056),Rajiin,,Q7411,3,56,56,1 ottobre 2003,2003-10-01,Star Trek: Enterprise,Q8526,4,Rajiin,Q2528593,Rajiin (episode),Rajiin (Episode),Rajiin (episodio),304,KO
Impulse,Effetti deleteri,,Q3917,3,57,57,8 ottobre 2003,2003-10-08,Star Trek: Enterprise,Q8526,5,Impulse,Q2743075,Impulse (episode),Impulsiv,,305,KO
Exile,Esilio,,Q3031,3,58,58,15 ottobre 2003,2003-10-15,Star Trek: Enterprise,Q8526,6,Exile,Q2646751,Exile (episode),Exil (Episode),,306,KO
The Shipment,La kemocite,,Q9242,3,59,59,29 ottobre 2003,2003-10-29,Star Trek: Enterprise,Q8526,7,The Shipment,Q2811418,The Shipment (episode),Die Ladung,,307,KO
Twilight,Il crepuscolo del tempo,,Q9677,3,60,60,5 novembre 2003,2003-11-05,Star Trek: Enterprise,Q8526,8,Twilight,Q2944448,Twilight (episode),Dämmerung,,308,KO
North Star,Cowboy dello spazio,,Q6755,3,61,61,12 novembre 2003,2003-11-12,Star Trek: Enterprise,Q8526,9,North Star,Q2996346,North Star (episode),Faustrecht,,309,KO
Similitude,Similitudini,,Q8272,3,62,62,19 novembre 2003,2003-11-19,Star Trek: Enterprise,Q8526,10,Similitude,Q3018316,Similitude (episode),Ebenbild,,310,KO
Carpenter Street,Carpenter Street,,Q1628,3,63,63,26 novembre 2003,2003-11-26,Star Trek: Enterprise,Q8526,11,Carpenter Street,Q3060753,Carpenter Street (episode),Carpenter Street (Episode),,311,KO
Chosen Realm,Il dominio prescelto,,Q1773,3,64,64,14 gennaio 2004,2004-01-14,Star Trek: Enterprise,Q8526,12,Chosen Realm,Q3078761,Chosen Realm (episode),Das auserwählte Reich,,312,KO
Proving Ground,Il test,,Q7306,3,65,65,21 gennaio 2004,2004-01-21,Star Trek: Enterprise,Q8526,13,Proving Ground,Q3177733,Proving Ground (episode),Testgebiet,,313,KO
Stratagem,Lo stratagemma,,Q8666,3,66,66,4 febbraio 2004,2004-02-04,Star Trek: Enterprise,Q8526,14,Stratagem,Q3204716,Stratagem (episode),Kriegslist,,314,KO
Harbinger,Il messaggero,,Q3656,3,67,67,11 febbraio 2004,2004-02-11,Star Trek: Enterprise,Q8526,15,Harbinger,Q3205380,Harbinger (episode),Der Vorbote,,315,KO
Doctor's Orders,Ordini del medico,,Q2585,3,68,68,18 febbraio 2004,2004-02-18,Star Trek: Enterprise,Q8526,16,Doctor's Orders,Q3615297,Doctor's Orders (episode),Auf ärztliche Anweisung,,316,KO
Hatchery,Il nido,,Q3702,3,69,69,25 febbraio 2004,2004-02-25,Star Trek: Enterprise,Q8526,17,Hatchery,Q5681083,Hatchery (episode),Brutstätte (Episode),,317,KO
Azati Prime,Azati primo,,Q930,3,70,70,3 marzo 2004,2004-03-03,Star Trek: Enterprise,Q8526,18,Azati Prime,Q4832296,Azati Prime (episode),Azati Prime (Episode),,318,KO
Damage,Danni alla nave,,Q2168,3,71,71,21 aprile 2004,2004-04-21,Star Trek: Enterprise,Q8526,19,Damage,Q5211882,Damage (episode),Beschädigungen,,319,KO
The Forgotten,I dimenticati,,Q9138,3,72,72,28 aprile 2004,2004-04-28,Star Trek: Enterprise,Q8526,20,The Forgotten,Q7734822,The Forgotten (episode),Die Vergessenen,,320,KO
E²,Un tuffo nel futuro,,Q2730,3,73,73,5 maggio 2004,2004-05-05,Star Trek: Enterprise,Q8526,21,E²,Q5423474,E² (episode),E²,,321,KO
The Council,Il consiglio degli Xindi,,Q9096,3,74,74,12 maggio 2004,2004-05-12,Star Trek: Enterprise,Q8526,22,The Council,Q7727741,The Council (episode),Der Rat,,322,KO
Countdown,Conto alla rovescia,,Q2044,3,75,75,19 maggio 2004,2004-05-19,Star Trek: Enterprise,Q8526,23,Countdown,Q16744016,Countdown (episode),Countdown (Episode),,323,KO
Zero Hour,Ora zero,,Q10227,3,76,76,26 maggio 2004,2004-05-26,Star Trek: Enterprise,Q8526,24,Zero Hour,Q8069524,Zero Hour (episode),Stunde Null,,324,KO
Storm Front - Part I,Nuovo fronte temporale - Prima parte,,Q8660,4,77,77,8 ottobre 2004,2004-10-08,Star Trek: Enterprise,Q8526,1,"Storm Front, Part I",Q42595960,Storm Front (episode),"Sturmfront, Teil I",,,KO
Storm Front - Part II,Nuovo fronte temporale - Seconda parte,,Q8661,4,78,78,15 ottobre 2004,2004-10-15,Star Trek: Enterprise,Q8526,2,"Storm Front, Part II",Q42596046,"Storm Front, Part II (episode)","Sturmfront, Teil II",,,KO
Home,Ritorno a casa,,Q3801,4,79,79,22 ottobre 2004,2004-10-22,Star Trek: Enterprise,Q8526,3,Home,Q3535952,Home (episode),Zuhause,,,KO
Borderland,Terra di confine,,Q1324,4,80,80,29 ottobre 2004,2004-10-29,Star Trek: Enterprise,Q8526,4,Borderland,Q4944660,Borderland (episode),Borderland (Episode),Terra di confine (episodio),080,
Cold Station 12,Stazione 12,,Q1971,4,81,81,5 novembre 2004,2004-11-05,Star Trek: Enterprise,Q8526,5,Cold Station 12,Q5142384,Cold Station 12 (episode),Cold Station 12 (Episode),Stazione 12 (episodio),405,KO
The Augments,I potenziati,,Q9064,4,82,82,12 novembre 2004,2004-11-12,Star Trek: Enterprise,Q8526,6,The Augments,Q7714891,The Augments (episode),Die Augments,I potenziati (episodio),406,KO
The Forge,La fornace,,Q9137,4,83,83,19 novembre 2004,2004-11-19,Star Trek: Enterprise,Q8526,7,The Forge,Q2798685,The Forge (episode),Der Anschlag,La Fornace (episodio),407,KO
Awakening,Risvegli,,Q922,4,84,84,26 novembre 2004,2004-11-26,Star Trek: Enterprise,Q8526,8,Awakening,Q2606256,Awakening (episode),Zeit des Erwachens (Episode),Risvegli (episodio),408,KO
Kir'Shara,Il kir'shara,,Q5025,4,85,85,3 dicembre 2004,2004-12-03,Star Trek: Enterprise,Q8526,9,Kir'Shara,Q6414725,Kir'Shara (episode),Kir'Shara (Episode),,409,KO
Daedalus,Dedalo,,Q2153,4,86,86,14 gennaio 2005,2005-01-14,Star Trek: Enterprise,Q8526,10,Daedalus,Q1994530,Daedalus (episode),,,410,KO
Observer Effect,Gli osservatori,,Q6789,4,87,87,21 gennaio 2005,2005-01-21,Star Trek: Enterprise,Q8526,11,Observer Effect,Q7075484,Observer Effect (episode),Beobachtungseffekt,,411,KO
Babel One,Babel,,Q952,4,88,88,28 gennaio 2005,2005-01-28,Star Trek: Enterprise,Q8526,12,Babel One,Q4837696,Babel One (episode),Babel (ENT),,412,KO
United,Fragile alleanza,,Q9725,4,89,89,4 febbraio 2005,2005-02-04,Star Trek: Enterprise,Q8526,13,United,Q7887305,United (episode),Vereinigt,,413,KO
The Aenar,Gli Aenar,,Q9052,4,90,90,11 febbraio 2005,2005-02-11,Star Trek: Enterprise,Q8526,14,The Aenar,Q7712734,The Aenar (episode),Die Aenar,,414,KO
Affliction,Virus letale,,Q215,4,91,91,18 febbraio 2005,2005-02-18,Star Trek: Enterprise,Q8526,15,Affliction,Q4689014,Affliction (episode),Die Heimsuchung,,415,KO
Divergence,Divergenze,,Q2576,4,92,92,25 febbraio 2005,2005-02-25,Star Trek: Enterprise,Q8526,16,Divergence,Q5283895,Divergence (episode),Die Abweichung,,092,
Bound,Le schiave di Orione,,Q1336,4,93,93,15 aprile 2005,2005-04-15,Star Trek: Enterprise,Q8526,17,Bound,Q4949851,Bound (episode),Die Verbindung,Le schiave di Orione (episodio),417,KO
"In a Mirror, Darkly - Part I",In uno specchio oscuro - Prima parte,,Q3921,4,94,94,22 aprile 2005,2005-04-22,Star Trek: Enterprise,Q8526,18,"In a Mirror, Darkly, Part I",Q42594881,"In a Mirror, Darkly (episode)","Die dunkle Seite des Spiegels, Teil I",,,KO
"In a Mirror, Darkly - Part II",In uno specchio oscuro - Seconda parte,,Q3922,4,95,95,29 aprile 2005,2005-04-29,Star Trek: Enterprise,Q8526,19,"In a Mirror, Darkly, Part II",Q42594945,"In a Mirror, Darkly, Part II (episode)","Die dunkle Seite des Spiegels, Teil II",,,KO
Demons (ent096),Demoni,,Q2454,4,96,96,6 maggio 2005,2005-05-06,Star Trek: Enterprise,Q8526,20,Demons,Q5256284,Demons (episode),Dämonen (Episode),,420,KO
Terra Prime,Lotta per la Terra,,Q8998,4,97,97,13 maggio 2005,2005-05-13,Star Trek: Enterprise,Q8526,21,Terra Prime,Q7703141,Terra Prime (episode),Terra Prime (Episode),,421,KO
These Are The Voyages...,Federazione prossima frontiera,,Q9305,4,98,98,13 maggio 2005,2005-05-13,Star Trek: Enterprise,Q8526,22,These Are the Voyages…,Q2469115,These Are the Voyages... (episode),Dies sind die Abenteuer,,422,KO
Second Contact,Secondo Contatto,,Q8118,1,LD-1001,,6 agosto 2020,2020-08-06,Star Trek: Lower Decks,Q10317,1,Second Contact,Q81531309,Second Contact (episode),Der Zweite Kontakt,,,KO
Envoys,Delegati,,Q2889,1,LD-1002,,13 agosto 2020,2020-08-13,Star Trek: Lower Decks,Q10317,2,Envoys,Q96868272,Envoys (episode),Gesandte,,,KO
Temporal Edict,Decreto Temporale,,Q8978,1,LD-1003,,20 agosto 2020,2020-08-20,Star Trek: Lower Decks,Q10317,3,Temporal Edict,Q96868276,Temporal Edict (episode),Der Zeitpuffer,,,KO
Moist Vessel,Nave Umida,,Q6433,1,LD-1004,,27 agosto 2020,2020-08-27,Star Trek: Lower Decks,Q10317,4,Moist Vessel,Q96868279,Moist Vessel (episode),Das Generationenschiff (LD),,,KO
Cupid's Errant Arrow,La freccia errante di Cupido,,Q2112,1,LD-1005,,3 settembre 2020,2020-09-03,Star Trek: Lower Decks,Q10317,5,Cupid’s Errant Arrow,Q96868287,Cupid's Errant Arrow (episode),Mondtrümmer und Liebesleid,,,KO
Terminal Provocations,Provocazioni terminali,,Q8992,1,LD-1006,,10 settembre 2020,2020-09-10,Star Trek: Lower Decks,Q10317,6,Terminal Provocations,Q96868291,Terminal Provocations (episode),Diplomatischer Schrott,,,KO
Much Ado About Boimler,Molto rumore per Boimler,,Q6506,1,LD-1007,,17 settembre 2020,2020-09-17,Star Trek: Lower Decks,Q10317,7,Much Ado About Boimler,Q96868296,Much Ado About Boimler (episode),Viel Lärm um Boimler,,,KO
Veritas,Veritas,,Q9837,1,LD-1008,,24 settembre 2020,2020-09-24,Star Trek: Lower Decks,Q10317,8,Veritas,Q96868300,Veritas (episode),Veritas,,,KO
Crisis Point,Punto critico,,Q2077,1,LD-1009,,1 ottobre 2020,2020-10-01,Star Trek: Lower Decks,Q10317,9,Crisis Point,Q96868304,Crisis Point (episode),Der Aufstieg von Vindicta,,,KO
No Small Parts,Nessuna piccola parte,,Q6720,1,LD-1010,,8 ottobre 2020,2020-10-08,Star Trek: Lower Decks,Q10317,10,No Small Parts,Q96865384,No Small Parts (episode),Keine kleinen Rollen,,,KO
Strange Energies,Strane energie,,Q10557,2,LD-2001,,12 agosto 2021,2021-08-12,Star Trek: Lower Decks,Q10317,1,Strange Energies,Q96888686,Strange Energies (episode),Seltsame Energien,,,KO
"Kayshon, His Eyes Open","Kayshon, a occhi aperti",,Q10558,2,LD-2002,,19 agosto 2021,2021-08-19,Star Trek: Lower Decks,Q10317,2,"Kayshon, His Eyes Open",Q96868314,"Kayshon, His Eyes Open (episode)","Kayshon, seine Augen offen",,,KO
We'll Always Have Tom Paris,Avremo sempre Tom Paris,,Q10592,2,LD-2003,,26 agosto 2021,2021-08-26,Star Trek: Lower Decks,Q10317,3,We'll Always Have Tom Paris,Q96868318,We'll Always Have Tom Paris (episode),Begegnung mit der Befangenheit,,,KO
"Mugato, Gumato","Mugato, Gumato",,Q10603,2,LD-2004,,2 settembre 2021,2021-09-02,Star Trek: Lower Decks,Q10317,4,"Mugato, Gumato",Q96868323,"Mugato, Gumato (episode)","Mugato, Gumato",,,KO
An Embarrassment Of Dooplers,La vergogna dei Doopler,,Q10626,2,LD-2005,,9 settembre 2021,2021-09-09,Star Trek: Lower Decks,Q10317,5,An Embarrassment Of Dooplers,Q96868326,An Embarrassment Of Dooplers (episode),Die Doopler-Verwirrung,,,KO
The Spy Humongous,La spia tra di noi,,Q17,2,LD-2006,,16 settembre 2021,2021-09-16,Star Trek: Lower Decks,Q10317,6,The Spy Humongous,Q96868330,The Spy Humongous (episode),"Der große, braune Spion",,,KO
Where Pleasant Fountains Lie,Il pianeta delle piacevoli fontane,,Q10670,2,LD-2007,,23 settembre 2021,2021-09-23,Star Trek: Lower Decks,Q10317,7,Where Pleasant Fountains Lie,Q96868334,Where Pleasant Fountains Lie (episode),Wo Die Lust’Gen Quellen Liegen,,,KO
"I, Excretus","Io, Excretus",,Q10671,2,LD-2008,,30 settembre 2021,2021-09-30,Star Trek: Lower Decks,Q10317,8,"I, Excretus",Q96868338,"I, Excretus (episode)","Ich, Excretus",,,KO
Wej Duj,wej Duj,,Q10678,2,LD-2009,,7 ottobre 2021,2021-10-07,Star Trek: Lower Decks,Q10317,9,Wej Duj,Q96868343,Wej Duj (episode),Wej Duj,,,KO
First First Contact,Primo Primo Contatto,,Q10681,2,LD-2010,,14 ottobre 2021,2021-10-14,Star Trek: Lower Decks,Q10317,10,First First Contact,Q96868346,First First Contact (episode),Erster Erster Kontakt,,,KO
Grounded,Bloccati,,Q11460,3,LD-3001,,25 agosto 2022,2022-08-25,Star Trek: Lower Decks,Q10317,1,Grounded,Q96868351,Grounded (episode),Startverbot (Episode),,,KO
