"English Title","German Title","Italian Title"
"2 April","2. April","2 aprile"
"2 August","2. August","2 agosto"
"2 December","2. Dezember","2 dicembre"
"2 February","2. Februar","2 febbraio"
"2 January","2. Januar","2 gennaio"
"2 July","2. Juli","2 luglio"
"2 June","2. Juni","2 giugno"
"2 March","2. März","2 marzo"
"2 May","2. Mai","2 maggio"
"2 News",,
"2 November","2. November","2 novembre"
"2 October","2. Oktober","2 ottobre"
"2 September","2. September","2 settembre"
"2nd century",,
"2nd century BC",,
"2nd millennium AD",,
"2nd millennium BC",,
"3-D Chess",,
3-QND,,
"3.5 billion years ago",,
"30,000 years ago",,
30-Stockton,,
3000s,,
"300 million years ago",,
3010s,,
3020s,,
3030s,,
3040s,,
3050s,,
3052,,
3060s,,
3064,,
3065,,
3069,,
3070s,,
3074,,
3080,,
3080s,,
3089,,
3090s,,
"30 April","30. April","30 aprile"
"30 August","30. August","30 agosto"
"30 December","30. Dezember","30 dicembre"
"30 January","30. Januar","30 gennaio"
"30 July","30. Juli","30 luglio"
"30 June","30. Juni","30 giugno"
"30 March","30. März","30 marzo"
"30 May","30. Mai","30 maggio"
"30 November","30. November","30 novembre"
"30 October","30. Oktober","30 ottobre"
"30 September","30. September","30 settembre"
"30th Street West",,
"30th anniversary",,
"30th century","30. Jahrhundert","XXX secolo"
3100s,,
3102,,
3110s,,
3120s,,
3125,,
313-C,,
3130s,,
3140s,,
3148,,
3150s,,
3160,,
3160s,,
3170,,
3170s,,
3173,,
3174,,
3175,,
3176,,
3177,,
3180,,
3180s,,
3181,,
3182,,
3183,,
3184,,
3185,,
3186,,
3187,,
3188,,
3189,,
3190,,
3190s,,
3191,,
"31 Aquilae",,
"31 August","31. August","31 agosto"
"31 December","31. Dezember","31 dicembre"
"31 January","31. Januar","31 gennaio"
"31 July","31. Juli","31 luglio"
"31 March","31. März","31 marzo"
"31 May","31. Mai","31 maggio"
"31 October","31. Oktober","31 ottobre"
"31st century","31. Jahrhundert","XXXI secolo"
3204,,
3218,,
3267,,
3269,,
"32nd Human henchman 001",,
"32nd Human regulator 001",,
"32nd century","32. Jahrhundert","XXXI secolo"
"333 Montgomery (podcast)",,
335,,
"33rd century","33. Jahrhundert",
"345 California Center",,
"34th century",,
355,,
"35 Jahre Star Trek",,
"35th anniversary",,
"35th century",,
"36th century",,
"37th century",,
"38th century",,
3947,,
"39 Serpentis",,
"39th century",,
"3D Systems/Gentle Giant Studios",,
"3D glasses",,
"3D printer",,
"3D printing",,
"3XY phagrin level",,
"3 Action News","3 Action News",
"3 April","3. April","3 aprile"
"3 August","3. August","3 agosto"
"3 December","3. Dezember","3 dicembre"
"3 February","3. Februar","3 febbraio"
"3 January","3. Januar","3 gennaio"
"3 July","3. Juli","3 luglio"
"3 June","3. Juni","3 giugno"
"3 March","3. März","3 marzo"
"3 May","3. Mai","3 maggio"
"3 November","3. November","3 novembre"
"3 October","3. Oktober","3 ottobre"
"3 September","3. September","3 settembre"
"3 kpc Arm",,
"3 of 8",,
3e,,
"3rd Street",,
"3rd century",,
"3rd century BC",,
"3rd class neutronic fuel carrier",,
"3rd millennium AD",,
"3rd millennium BC",,
4-0,,
"4.5 billion years ago",,
"400 South Hope Street",,
"400 million years ago",,
4077,,
"40 Acres",,
"40 Eridani",,
"40 Eridani A","40 Eridani A",
"40 Eridani A I",,
"40 Eridani A Starfleet Construction Yards",40-Eridani-A-Flottenwerft,
"40 Eridani B",,
"40 Eridani C",,
"40 Eridani system",,
"40 Years of Star Trek: The Collection",,
"40th anniversary",,
"40th century",,
"43rd century",,
"44 Montgomery",,
"45,000 years ago",,
"455 Films",,
"45th anniversary",,
47,47,
47-Beta,,
47North,,
"47 (podcast)",,
"47 Tucanae","47 Tucanae",
"47 references",,
49er,,
"4J Studios",,
"4K Ultra HD",,
"4K Ultra HD Blu-ray",,
"4 April","4. April","4 aprile"
"4 August","4. August","4 agosto"
"4 December","4. Dezember","4 dicembre"
"4 February","4. Februar","4 febbraio"
"4 January","4. Januar","4 gennaio"
"4 July","4. Juli","4 luglio"
"4 June","4. Juni","4 giugno"
"4 March","4. März","4 marzo"
"4 May","4. Mai","4 maggio"
"4 November","4. November","4 novembre"
"4 October","4. Oktober","4 ottobre"
"4 September","4. September","4 settembre"
"4 billion years ago",,
"4 million years ago",,
"4th century",,
"4th century BC",,
"4th millennium AD",,
"4th millennium BC",,
5,,
"5,000 years ago",,
"50,000 years ago",,
"500,000 years ago",,
5012,,
"50 Fremont Center",,
"50 Kills",,
"50 Years of Star Trek",,
"50th anniversary",,
"53 Aquarii",,
"550 South Hope",,
"55th anniversary",,
"56 alpha",,
"580 California Street",,
"58 Ophiuchi",,
"59 Eridani",,
"5 April","5. April","5 aprile"
"5 August","5. August","5 agosto"
"5 December","5. Dezember","5 dicembre"
"5 February","5. Februar","5 febbraio"
"5 January","5. Januar","5 gennaio"
"5 July","5. Juli","5 luglio"
"5 June","5. Juni","5 giugno"
"5 March","5. März","5 marzo"
"5 May","5. Mai","5 maggio"
"5 November","5. November","5 novembre"
"5 October","5. Oktober","5 ottobre"
"5 September","5. September","5 settembre"
"5 billion years ago",,
"5th century",,
"5th millennium BC",,
"600,000 years ago",,
"600 Wilshire",,
"601 California Street",,
"602 Club","Club 602",
"611 Place",,
"611 Wilshire",,
"617 West 7th Building",,
"61 Cygni","61 Cygni A",
"61 Ursae Majoris","61 Ursae Majoris",
6263,,
"650 California Street",,
"655 Hope",,
"65 million years ago",,
"6 April","6. April","6 aprile"
"6 August","6. August","6 agosto"
"6 December","6. Dezember","6 dicembre"
"6 February","6. Februar","6 febbraio"
"6 January","6. Januar","6 gennaio"
"6 July","6. Juli","6 luglio"
"6 June","6. Juni","6 giugno"
"6 March","6. März","6 marzo"
"6 May","6. Mai","6 maggio"
"6 November","6. November","6 novembre"
"6 October","6. Oktober","6 ottobre"
"6 September","6. September","6 settembre"
"6th century",,
7009,,
"717 Olympic",,
"740 South Olive",,
744,,
747,747,
752,,
"75 mm Gun M1916",,
765874,,
"765874: Memory Wall",,
"765874: Regeneration",,
"765874: Unification",,
"777 Tower",,
"77th Emperor's Cup","77. Emperor's Cup",
"7 April","7. April","7 aprile"
"7 August","7. August","7 agosto"
"7 December","7. Dezember","7 dicembre"
"7 February","7. Februar","7 febbraio"
"7 January","7. Januar","7 gennaio"
"7 July","7. Juli","7 luglio"
"7 June","7. Juni","7 giugno"
"7 March","7. März","7 marzo"
"7 May","7. Mai","7 maggio"
"7 News",,
"7 November","7. November","7 novembre"
"7 October","7. Oktober","7 ottobre"
"7 September","7. September","7 settembre"
"7 of 9",,
"7th century",,
"7th guarantee",,
"8000 BC",,
"800 South Figueroa",,
"800 Wilshire Building",,
"801 Tower",,
"811 Wilshire",,
"818 Plaza",,
"81 Cancri",,
"825 South Hill",,
8472,,
"87 million years ago",,
8877,,8877
892-IV,892-IV,
"892-IV Master of Games",,
"892-IV announcer 001",,
"892-IV cameraman 001",,
"892-IV cameraman 003",,
"892-IV cameramen 001",,
"892-IV city 001",,
"892-IV city 002",,
"892-IV legionnaire 001",,
"892-IV model 001",,
"892-IV moons 001",,
"892-IV native",,
"892-IV natives",,
"892-IV passersby 001",,
"892-IV passersby 002",,
"892-IV policeman 001",,
"892-IV policeman 002",,
"892-IV policeman 003",,
"892-IV policeman 004",,
"892-IV slave 001",,
"892-IV slave 002",,
"892-IV slave 003",,
"892-IV slave 004",,
"892-IV slave 005",,
"892-IV sound man 001",,
"892-IV unnamed 000",,
"892 IV",,
"8 April","8. April","8 aprile"
"8 August","8. August","8 agosto"
"8 December","8. Dezember","8 dicembre"
"8 February","8. Februar","8 febbraio"
"8 January","8. Januar","8 gennaio"
"8 July","8. Juli","8 luglio"
"8 June","8. Juni","8 giugno"
"8 March","8. März","8 marzo"
"8 May","8. Mai","8 maggio"
"8 November","8. November","8 novembre"
"8 October","8. Oktober","8 ottobre"
"8 September","8. September","8 settembre"
"8th and Hope",,
"8th century",,
"8th century BC",,
9-1-1,,
911,,
"915 Wilshire",,
999,,
"99 Herculis",,
"99 Pegasi",,
"9 April","9. April","9 aprile"
"9 August","9. August","9 agosto"
"9 December","9. Dezember","9 dicembre"
"9 February","9. Februar","9 febbraio"
"9 January","9. Januar","9 gennaio"
"9 July","9. Juli","9 luglio"
"9 June","9. Juni","9 giugno"
"9 March","9. März","9 marzo"
"9 May","9. Mai","9 maggio"
"9 November","9. November","9 novembre"
"9 October","9. Oktober","9 ottobre"
"9 September","9. September","9 settembre"
"9th Street",,
"9th century",,
=,,
?,,
A,,
"A&A officer",,
"A'norum class",,
A'trom,A'trom,
A-13,,
"A-6 excavation team",,"Squadra di Scavo A-6"
"A-6 excavation team personnel",,
"A-7 Computer Expert",,
"A-7 computer expert",A7-Computerexpertendiplom,
A-koo-chee-moya,,
"A.B. Chambers",,
"A.C. Crispin","A.C. Crispin",
"A.E. Hodgkin",,
"A.E. van Vogt",,
A.F.,A.F.,
"A.G. Probert",,
"A.G. Robinson","A.G. Robinson",
"A.I. and Star Trek with Dr. Annalee Newitz of Ars Technica (podcast)",,
"A.J. Black",,
"A.J. Ford",,
"A.J. Pomeroy",,
"A.J. Raitano",,
"A.J. Teshin",,
"A.M.A. Journal",,
"A.Y. Dexter Delara",,
"A. Armaganian",,
"A. Baiers","A. Baiers",
"A. Baiers (mirror)","A. Baiers (Spiegeluniversum)",
"A. Banda",,
"A. Bormanis","A. Bormanis",
"A. Bro","A. Bro",
"A. Brock",,
"A. Codron","A. Codron",
"A. Coleite","A. Coleite",
"A. Coleite (mirror)","A. Coleite (Spiegeluniversum)",
"A. Colville",,
"A. Conan Doyle",,
"A. Conte",,
"A. Cooper",,
"A. Craig",,
"A. Deguzman",,
"A. Dekovic",,
"A. Dominguez","A. Dominguez",
"A. Eastman","A. Eastman",
"A. Estradajem",,
"A. Ettinger",,
"A. Finch",,
"A. Flores",,
"A. Fredrickson",,
"A. Fredrickson (Starfleet)","A. Fredrickson (Sternenflotte)",
"A. Fredrickson (UESPA)","A. Fredrickson (UESPA)",
"A. Fukai","A. Fukai",
"A. Geary","A. Geary",
"A. Giuletti",,
"A. Goldsman","A. Goldsman",
"A. Goldsman (mirror)","A. Goldsman (Spiegeluniversum)",
"A. Harberts","A. Harberts",
"A. Harberts (mirror)","A. Harberts (Spiegeluniversum)",
"A. Haye","A. Haye",
"A. Henry","A. Henry",
"A. Jacobson",,
"A. Jacobson (hologram)",,
"A. Jacobson (mirror)",,
"A. Jacque-Metton","A. Jacque-Metton",
"A. Jerk",,
"A. Kay","A. Kay",
"A. Kobayashi","A. Kobayashi",
"A. Kochoska",,
"A. Kroeker","A. Kroeker",
"A. Kurtzman","A. Kurtzman",
"A. Kurtzman (mirror)","A. Kurtzman (Spiegeluniversum)",
"A. Lambert","A. Lambert",
"A. Levy","A. Levy",
"A. Li",,
"A. Loo",,
"A. Ma",,
"A. MacKenzie",,
"A. Malee Van Koeverden",,
"A. Maranville","A. Maranville",
"A. Maranville (mirror)","A. Maranville (Spiegeluniversum)",
"A. Margellon",,
"A. McElroy",,
"A. Melvin",,
"A. Mintz",,
"A. Montgomery",,"A. Montgomery"
"A. Neskoromny",,
"A. Nocifora",,
"A. Novis",,
"A. Packard","A. Packard",
"A. Pooley","A. Pooley",
"A. Probert",,
"A. Raffaghello",,
"A. Reeves",,
"A. Rhea King",,
"A. Rivera",,
"A. Rockler","A. Rockler",
"A. Sassin",,
"A. Sayadyan",,
"A. Scharfe",,
"A. Schnobb",,
"A. Silvestri",Silvestri,
"A. Simonson","A. Simonson",
"A. Singh",,
"A. Stella","A. Stella",
"A. Stohatta",,
"A. Tamras",,
"A. Tamras (hologram)",,
"A. Thomas",,
"A. Trifunovic","A. Trifunovic",
"A. Trifunovic (mirror)","A. Trifunovic (Spiegeluniversum)",
"A. Tsang","A. Tsang",
"A. Tsang (mirror)","A. Tsang (Spiegeluniversum)",
"A. Valdez",,
"A. Williams",,
"A. Winfield",,
"A. Wolfe",,
"A. Wood",,
"A. Zahiri",,
"A. Zerkel","A. Zerkel",
"A19 burley fuelie 001",,
"A19 kvetchy fuelie 001",,
"A19 philosophical fuelie 001",,
"A19 tough fuelie 001",,
A500,,
A51,,
"A6 Construction Intermediate Unit",,
AA,,
AB-positive,,
ABS,,
AC/DC,,
ACB,,
ACD,,
"ACE Eddie Award",,
ACO,,
AD,,
ADCO,ADCO,
"ADG Excellence in Production Design Award",,
"ADR looping",,
"ADR looping (mission)",,
ADTH,,
AE-35,,
AF,,
AF006,,
AF014,,
AGIMUS,,
"AGIMUS of One",,
AGT,,
AHNA,,
AI,,
"AI, Star Trek & You with John Madden (podcast)",,
AIDS,,
"AID cleanup",,
"AI defense golem",,
"AJ Ford",,
AKB48,,
"ALMA Award",,
AM,,
"AMC Hornet",,
